Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/cron.weekly)"" = ""755"" ] && echo ""/etc/cron.weekly: 755"" || echo ""/etc/cron.weekly: некорректные права""",/etc/cron.weekly: 755,
Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/cron.monthly)"" = ""755"" ] && echo ""/etc/cron.monthly: 755"" || echo ""/etc/cron.monthly: некорректные права""",/etc/cron.monthly: 755,
Приложение Д.1.5.3,Установка корректных разрешений для системных файлов,,{hand_check}
Приложение Д.1.6,Настройка механизмов защиты ядра в соответствии с рекомендациями ФСТЭК России ,,@
Приложение Д.1.6.1,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.dmesg_restrict::1
Приложение Д.1.6.2,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file}/etc/sysctl.d/98-fstec.conf,kernel.kptr_restrict::2
Приложение Д.1.6.3,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX init_on_alloc=1"""""
Приложение Д.1.6.4,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX slab_nomerge"""""
Приложение Д.1.6.5,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX iommu=force iommu.strict=1 iommu.passthrough=0"""""
Приложение Д.1.6.6,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,"GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX randomize_kstack_offset=1"""""
Приложение Д.1.6.7,Настройка механизмов защиты ядра ФСТЭК (КИС АУДИТ Д.3.2.1),{file2}/etc/default/grub ,GRUB_CMDLINE_LINUX=$GRUB_CMDLINE_LINUX mitigations=auto,"nosmt"""""
